geoid,namelsad,aland,awater,totpop2020,hhpop2020,gqpop2020,hh2020,avhhsize20,hu2020,vacrate202,hislat2020,whitenh202,blacknh202,ainh2020,asnh2020,hipinh2020,othernh202,twoplsnh20,,
42101036303,Census Tract 363.03,2556620,4141,6695,6695,0,2466,2.71,2517,2,455,5565,186,5,242,6,16,220,,
42101036301,Census Tract 363.01,2409454,5442,3843,3843,0,1374,2.8,1420,3.2,354,2613,226,7,517,0,27,99,,
42101036302,Census Tract 363.02,520968,0,3712,3705,7,1312,2.82,1355,3.2,603,2128,662,3,170,0,17,129,,
42101036501,Census Tract 365.01,1816210,7169,5698,5559,139,2423,2.29,2520,3.8,353,4008,501,5,580,0,29,222,,
42101036502,Census Tract 365.02,1733146,0,4130,4123,7,1522,2.71,1549,1.7,248,3405,135,7,187,0,11,137,,
42101036600,Census Tract 366,1150250,1548489,2171,2166,5,1212,1.79,1409,14,159,1539,128,4,251,0,10,80,,
42101036700,Census Tract 367,729908,0,3856,3856,0,1949,1.98,2065,5.6,257,2691,363,2,322,0,27,194,,
42101036901,Census Tract 369.01,973722,113282,4,4,0,3,1.33,4,25,2,2,0,0,0,0,0,0,,
42101036902,Census Tract 369.02,883507,49251,6598,3342,3256,1452,2.3,1584,8.3,539,2645,766,8,2258,3,66,313,,
42101037200,Census Tract 372,1027185,0,4524,4513,11,1799,2.51,1919,6.3,377,2576,240,1,1211,0,22,97,,
42101037700,Census Tract 377,736880,0,4583,3695,888,1534,2.41,1899,19.2,809,1381,1953,13,265,1,32,129,,
42101037300,Census Tract 373,2597399,135359,5913,5836,77,2670,2.19,2811,5,265,4464,573,11,521,0,27,52,,
42101037500,Census Tract 375,1033282,1496,4074,3298,776,1449,2.28,1638,11.5,199,1990,1539,0,181,1,30,134,,
42101037600,Census Tract 376,694156,0,3664,3365,299,1823,1.85,2076,12.2,422,1609,590,6,845,0,20,172,,
42101037800,Census Tract 378,3764033,1907950,2389,2375,14,1113,2.13,1244,10.5,233,1848,100,11,91,0,13,93,,
42101037900,Census Tract 379,1400253,11282,5313,5294,19,2302,2.3,2487,7.4,338,4575,109,1,115,2,20,153,,
42101038000,Census Tract 380,874362,7008,2502,2493,9,930,2.68,1009,7.8,816,1241,285,3,50,1,18,88,,
42101039001,Census Tract 390.01,943337,0,3979,3975,4,1362,2.92,1409,3.3,1191,401,2139,5,112,6,31,94,,
42101038100,Census Tract 381,3322102,1644074,753,733,20,289,2.54,321,10,218,323,181,1,7,0,5,18,,
42101038200,Census Tract 382,1828675,13220,2801,2785,16,1028,2.71,1158,11.2,929,1328,395,3,47,1,6,92,,
42101038301,Census Tract 383.01,753750,0,2663,2298,365,860,2.67,983,12.5,1815,206,592,0,8,0,10,32,,
42101038400,Census Tract 384,2590560,0,2411,2401,10,982,2.45,1018,3.5,108,1886,204,0,104,0,14,95,,
42101038500,Census Tract 385,1341998,2576,1855,1830,25,925,1.98,976,5.2,82,1579,65,2,63,0,10,54,,
42101038800,Census Tract 388,1390293,4751,3883,3844,39,1845,2.08,1986,7.1,178,2249,1061,2,103,5,31,254,,
42101038900,Census Tract 389,1280554,0,2988,2780,208,1293,2.15,1372,5.8,79,110,2673,8,19,2,11,86,,
42101038600,Census Tract 386,3310650,32074,1338,1338,0,570,2.35,609,6.4,67,1034,122,0,55,0,5,55,,
42101038700,Census Tract 387,2051448,22042,2249,1697,552,731,2.32,789,7.4,138,1725,259,2,44,1,41,39,,
42101039100,Census Tract 391,1119799,133239,2577,2577,0,1028,2.51,1100,6.5,109,63,2267,7,12,1,27,91,,
42101980001,Census Tract 9800.01,2526129,693368,3,3,0,6,0.5,6,0,0,3,0,0,0,0,0,0,,
42101980002,Census Tract 9800.02,5919457,564570,12,12,0,11,1.09,12,8.3,6,2,2,0,2,0,0,0,,
42101980003,Census Tract 9800.03,454315,62922,21,0,21,0,-88888,0,-88888,0,0,19,0,0,0,0,2,,
42101980300,Census Tract 9803,7596033,22736,3,3,0,3,1,3,0,0,2,0,0,0,0,0,1,,
42101980701,Census Tract 9807.01,3552223,561283,0,0,0,0,-88888,0,-88888,0,0,0,0,0,0,0,0,,
42101980702,Census Tract 9807.02,2245124,1018705,9,8,1,0,-88888,2,100,4,0,4,0,0,0,0,1,,
42101980800,Census Tract 9808,2103934,43822,13,13,0,2,6.5,6,66.7,3,4,3,0,0,0,0,3,,
42101980100,Census Tract 9801,5343127,241115,52,52,0,22,2.36,26,15.4,3,37,9,0,0,0,0,3,,
